,Site,Meand13C,SDd13C,Meand15N,SDd15N,n
Terrestrial Shrub,Cochrane,-29.1,0.67,0.17,1.58,3
Terrestrial Shrub,Sunalta,-28.4,0.78,3.07,2.29,3
Terrestrial Shrub,Cushing Bridge,-28.7,0.51,2.7,0.17,3
Terrestrial Shrub,Graves Bridge,-28.8,0.69,6.6,1.5,3
Terrestrial Shrub,Policeman Flats,-27.9,1.49,5.8,0.91,3
Biofilm,Cochrane,-14.6,0.23,2.5,0.35,3
Biofilm,Sunalta,-13.23,3.17,5.07,0.21,3
Biofilm,Cushing Bridge,-8.5,1.76,5.1,1.04,3
Biofilm,Graves Bridge,-18.3,8.3,7.4,3.05,3
Biofilm,Policeman Flats,-25.7,0.23,2.75,6.37,3
